JoinKey,GEOID,NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018
C06001,6001,Alameda,551,548,568,603,491,542,582,583,569
C06003,6003,Alpine,0,0,0,0,0,0,0,0,0
C06005,6005,Amador,15,14,14,12,15,13,14,15,17
C06007,6007,Butte,81,81,78,81,85,78,83,87,86
C06009,6009,Calaveras,14,14,12,13,14,14,15,15,15
C06011,6011,Colusa,17,11,10,13,10,9,11,12,13
C06013,6013,Contra_Costa,403,395,419,422,392,380,431,430,397
C06015,6015,Del Norte,8,7,7,5,7,6,7,7,7
C06017,6017,El Dorado,68,67,75,72,52,81,81,82,76
C06019,6019,Fresno,342,335,341,344,300,331,358,367,368
C06021,6021,Glenn,14,14,12,14,16,16,17,18,17
C06023,6023,Humboldt,54,54,53,64,44,59,61,55,58
C06025,6025,Imperial,69,60,54,58,83,79,86,83,89
C06027,6027,Inyo,19,18,16,16,17,18,18,18,18
C06029,6029,Kern,362,359,356,367,384,375,407,390,396
C06031,6031,Kings,51,48,47,49,45,51,57,60,60
C06033,6033,Lake,25,22,20,24,25,23,21,21,23
C06035,6035,Lassen,7,7,6,6,8,9,8,6,5
C06037,6037,Los Angeles,3658,3554,3451,3445,3749,3465,3577,3659,3638
C06039,6039,Madera,57,61,53,54,45,44,59,62,57
C06041,6041,Marin,94,103,107,106,75,105,102,101,82
C06043,6043,Mariposa,7,7,6,5,9,6,8,6,7
C06045,6045,Mendocino,41,40,43,42,40,40,42,38,40
C06047,6047,Merced,106,95,92,94,83,105,114,117,132
C06049,6049,Modoc,0,0,0,0,0,0,0,0,0
C06051,6051,Mono,7,6,2,8,8,7,8,5,7
C06053,6053,Monterey,152,155,147,177,126,184,177,174,181
C06055,6055,Napa,52,47,58,52,39,63,57,53,61
C06057,6057,Nevada,42,35,34,25,27,40,40,39,38
C06059,6059,Orange,1406,1338,1355,1332,1465,1370,1375,1382,1402
C06061,6061,Placer,190,189,192,167,170,209,204,203,206
C06063,6063,Plumas,7,8,7,4,8,7,5,6,6
C06065,6065,Riverside,952,916,895,925,1010,1039,1035,1052,1052
C06067,6067,Sacramento,566,553,560,568,442,584,600,599,586
C06069,6069,San Benito,18,16,20,7,14,15,17,20,17
C06071,6071,San Bernardino,902,871,878,889,948,909,1010,993,990
C06073,6073,San Diego,1320,1291,1277,1241,1352,1408,1372,1377,1387
C06075,6075,San Francisco,138,151,149,161,102,134,134,134,120
C06077,6077,San Joaquin,303,301,299,325,312,360,340,347,336
C06079,6079,San Luis Obispo,147,144,124,140,145,147,142,142,150
C06081,6081,San Mateo,275,310,306,311,229,304,325,326,304
C06083,6083,Santa Barbara,174,164,166,172,178,186,181,170,191
C06085,6085,Santa Clara,621,691,697,696,661,727,717,685,643
C06087,6087,Santa Cruz,103,106,105,101,77,96,95,94,90
C06089,6089,Shasta,88,85,91,83,79,95,82,92,87
C06091,6091,Sierra,0,0,0,0,0,0,0,0,0
C06093,6093,Siskiyou,25,19,23,12,14,27,27,29,28
C06095,6095,Solano,190,218,213,202,167,201,210,217,216
C06097,6097,Sonoma,189,178,189,208,210,201,209,208,192
C06099,6099,Stanislaus,230,212,205,183,229,252,244,253,244
C06101,6101,Sutter,37,37,40,42,24,38,39,39,40
C06103,6103,Tehama,33,28,27,24,26,30,29,29,31
C06105,6105,Trinity,4,4,2,4,4,4,5,5,4
C06107,6107,Tulare,132,139,142,116,155,143,152,167,168
C06109,6109,Tuolumne,17,16,18,15,21,23,23,25,25
C06111,6111,Ventura,345,335,310,314,358,321,330,338,342
C06113,6113,Yolo,100,87,87,96,90,103,110,113,110
C06115,6115,Yuba,29,30,26,30,20,30,36,34,46
